date,open,high,low,close,adjclose,volume
2000-01-03,1469.250000,1478.000000,1438.359985,1455.219971,1455.219971,931800000
2000-01-04,1455.219971,1455.219971,1397.430054,1399.420044,1399.420044,1009000000
2000-01-05,1399.420044,1413.270020,1377.680054,1402.109985,1402.109985,1085500000
2000-01-06,1402.109985,1411.900024,1392.099976,1403.449951,1403.449951,1092300000
2000-01-07,1403.449951,1441.469971,1400.729980,1441.469971,1441.469971,1225200000
2000-01-10,1441.469971,1464.359985,1441.469971,1457.599976,1457.599976,1064800000
2000-01-11,1457.599976,1458.660034,1434.420044,1438.560059,1438.560059,1014000000
2000-01-12,1438.560059,1442.599976,1427.079956,1432.250000,1432.250000,974600000
2000-01-13,1432.250000,1454.199951,1432.250000,1449.680054,1449.680054,1030400000
2000-01-14,1449.680054,1473.000000,1449.680054,1465.150024,1465.150024,1085900000
2000-01-18,1465.150024,1465.150024,1451.300049,1455.140015,1455.140015,1056700000
2000-01-19,1455.140015,1461.390015,1448.680054,1455.900024,1455.900024,1087800000
2000-01-20,1455.900024,1465.709961,1438.540039,1445.569946,1445.569946,1100700000
2000-01-21,1445.569946,1453.180054,1439.599976,1441.359985,1441.359985,1209800000
2000-01-24,1441.359985,1454.089966,1395.420044,1401.530029,1401.530029,1115800000
2000-01-25,1401.530029,1414.260010,1388.489990,1410.030029,1410.030029,1073700000
2000-01-26,1410.030029,1412.729980,1400.160034,1404.089966,1404.089966,1117300000
2000-01-27,1404.089966,1418.859985,1370.989990,1398.560059,1398.560059,1129500000
2000-01-28,1398.560059,1398.560059,1356.199951,1360.160034,1360.160034,1095800000
2000-01-31,1360.160034,1394.479980,1350.140015,1394.459961,1394.459961,993800000
2000-02-01,1394.459961,1412.489990,1384.790039,1409.280029,1409.280029,981000000
2000-02-02,1409.280029,1420.609985,1403.489990,1409.119995,1409.119995,1038600000
2000-02-03,1409.119995,1425.780029,1398.520020,1424.969971,1424.969971,1146500000
2000-02-04,1424.969971,1435.910034,1420.630005,1424.369995,1424.369995,1045100000
2000-02-07,1424.369995,1427.150024,1413.329956,1424.239990,1424.239990,918100000
2000-02-08,1424.239990,1441.829956,1424.239990,1441.719971,1441.719971,1047700000
2000-02-09,1441.719971,1444.550049,1411.650024,1411.709961,1411.709961,1050500000
2000-02-10,1411.699951,1422.099976,1406.430054,1416.829956,1416.829956,1058800000
2000-02-11,1416.829956,1416.829956,1378.890015,1387.119995,1387.119995,1025700000
